ID,Site,Origin,iteration,tub,chamber,left,right,day1_silk_side,day1_spider_side,day1_retreat_side,day2_silk_side,day2_spider_side,day2_retreat_side,day3_silk_side,day3_spider_side,day3_retreat_side,day4_silk_side,day4_spider_side,day4_retreat_side,before_spider_mass,after_spider_mass,mass_difference,og_silk,side_w_more,loud_silk,quiet_silk,tunnel_silk,silk_total,percent_loud,percent_quiet,percent_tunnel,silk_total_notunnel,per_loud_notunnel,per_quiet_notunnel,diff
AP197,8B,Loud,2,3,back,loud,quiet,quiet,quiet,,quiet,tunnel,,quiet,loud,,quiet,loud,,0.0619,0.0458,-0.0161,2.439,loud,0.515,0.378,0.048,0.941,55,40,5,0.893,58,42,15
AP216,8B,Loud,2,3,z_front,loud,quiet,loud,loud,,loud,loud,,loud,loud,,loud,loud,,0.2707,0.256,-0.0147,7.144,loud,1.151,0.257,0.209,1.617,71,16,13,1.408,82,18,63
AP219,8B,Loud,2,13,back,loud,quiet,NA,loud,,quiet,quiet,,loud,quiet,,loud,quiet,,0.1187,0.1105,-0.0082,3.552,loud,0.473,0.41,0.073,0.956,49,43,8,0.883,54,46,7
AP217,8B,Loud,3,9,z_front,quiet,loud,loud,loud,,loud,loud,,quiet,quiet,,loud,quiet,,0.0975,0.1033,0.0058,2.97,quiet,0.854,0.97,0.039,1.863,46,52,2,1.824,47,53,6
AP230,8B,Loud,3,14,middle,quiet,loud,quiet,quiet,,quiet,quiet,,quiet,quiet,,quiet,quiet,,0.0931,0.0944,0.0013,4.155,quiet,0.231,0.935,0.026,1.192,19,78,2,1.166,20,80,60
AP189,8B,Loud,3,20,back,quiet,loud,quiet,quiet,,NA,loud,,loud,loud,,NA,loud,,0.0661,0.0677,0.0016,3.521,loud,0.22,0.17,0.001,0.391,56,43,0,0.39,56,44,13
AP221,8B,Loud,5,3,middle,loud,quiet,loud,loud,loud,loud,loud,loud,loud,loud,loud,loud,quiet,NA,0.1154,0.1118,-0.0036,5.895,loud,0.955,0.346,0.081,1.382,69,25,6,1.301,73,27,47
AP192,8B,Loud,5,9,middle,quiet,loud,quiet,quiet,quiet,quiet,quiet,NA,quiet,quiet,NA,quiet,quiet,NA,0.1616,0.1522,-0.0094,7.003,quiet,0.667,1.375,0.125,2.167,31,63,6,2.042,33,67,35
AP200,8B,Loud,5,14,z_front,quiet,loud,quiet,loud,NA,quiet,quiet,quiet,loud,loud,quiet,quiet,quiet,quiet,0.0683,0.0737,0.0054,4.058,quiet,0.588,0.97,0.033,1.591,37,61,2,1.558,38,62,25
AP213,8B,Loud,5,20,back,loud,quiet,loud,loud,NA,quiet,loud,quiet,loud,loud,NA,loud,loud,NA,0.1753,0.163,-0.0123,13.512,loud,1.078,0.675,0.05,1.803,60,37,3,1.753,61,39,23
AP214,8B,Loud,5,20,middle,quiet,loud,loud,loud,NA,loud,loud,loud,loud,loud,loud,loud,loud,NA,0.0881,0.088,-0.0001,5.604,loud,0.404,0.391,0.032,0.827,49,47,4,0.795,51,49,2
AP084,6C,Quiet,2,6,middle,quiet,loud,quiet,quiet,,quiet,quiet,,quiet,quiet,,quiet,quiet,,0.0777,0.0746,-0.0031,2.08,quiet,0.158,0.847,0.021,1.026,15,83,2,1.005,16,84,69
AP104,6C,Quiet,2,9,z_front,quiet,loud,loud,loud,,loud,loud,,loud,loud,,loud,tunnel,,0.1001,0.0971,-0.003,4.327,loud,1.095,0.257,0.079,1.431,77,18,6,1.352,81,19,62
AP131,6C,Quiet,2,13,z_front,loud,quiet,loud,loud,,loud,loud,,loud,loud,,loud,loud,,0.0621,0.0621,0,2.49,loud,0.283,0.169,0.045,0.497,57,34,9,0.452,63,37,25
AP128,6C,Quiet,2,20,middle,loud,quiet,quiet,quiet,,quiet,quiet,,quiet,quiet,,NA,loud,,0.09,0.0876,-0.0024,4.52,quiet,0.328,0.353,0.138,0.819,40,43,17,0.681,48,52,4
AP124,6C,Quiet,2,20,z_front,quiet,loud,quiet,quiet,,quiet,quiet,,quiet,quiet,,quiet,quiet,,0.1181,0.1126,-0.0055,4.454,quiet,0.062,0.591,0.035,0.688,9,86,5,0.653,9,91,81
AP102,6C,Quiet,3,6,middle,quiet,loud,loud,loud,,NA,quiet,,loud,loud,,loud,loud,,0.0761,0.0795,0.0034,3.698,loud,0.666,0.25,0.013,0.929,72,27,1,0.916,73,27,45
AP101,6C,Quiet,3,13,middle,quiet,loud,quiet,quiet,,NA,quiet,,quiet,quiet,,quiet,quiet,,0.0856,0.0802,-0.0054,4.051,loud,0.204,0.154,0.046,0.404,50,38,11,0.358,57,43,14
AP113,6C,Quiet,3,14,back,loud,quiet,NA,quiet,,loud,quiet,,NA,tunnel,,NA,tunnel,,0.0837,0.0811,-0.0026,3.313,loud,0.542,0.421,0.181,1.144,47,37,16,0.963,56,44,13
AP086,6C,Quiet,3,20,middle,loud,quiet,NA,quiet,,NA,loud,,loud,quiet,,loud,loud,,0.0583,0.0564,-0.0019,3.605,loud,0.434,0.254,0.001,0.689,63,37,0,0.688,63,37,26
AP130,6C,Quiet,3,20,z_front,quiet,loud,loud,loud,,NA,loud,,quiet,quiet,,quiet,quiet,,0.0648,0.0701,0.0053,2,quiet,0.168,0.71,0.13,1.008,17,70,13,0.878,19,81,62
AP112,6C,Quiet,4,3,z_front,quiet,loud,NA,loud,NA,NA,loud,NA,quiet,quiet,NA,quiet,quiet,NA,0.0831,0.0836,0.0005,3.402,loud,0.921,0.772,0.322,2.015,46,38,16,1.693,54,46,9
AP133,6C,Quiet,4,9,middle,quiet,loud,NA,quiet,NA,NA,quiet,NA,quiet,quiet,NA,quiet,quiet,quiet,0.0711,0.0759,0.0048,5.63,quiet,0.261,1.476,0.069,1.806,14,82,4,1.737,15,85,70
